===
2025-09-27T12:14:32Z
CHU-7363 | IN: 09:05:14 | OUT: 17:12:40
CHU-6273 | IN: 08:57:21 | OUT: 17:03:18
CHU-8637 | IN: 09:11:09 | OUT: 17:28:52
CHU-1175 | IN: 09:02:45 | OUT: 17:10:33
CHU-8970 | IN: 08:54:30 | OUT: 17:06:19
CHU-3709 | IN: 09:18:11 | OUT: 17:35:42
CHU-7630 | IN: 09:01:56 | OUT: 17:14:27
CHU-4540 | IN: 09:09:08 | OUT: 17:22:41
CHU-8059 | IN: 08:59:49 | OUT: 17:05:36
CHU-5325 | IN: 09:23:02 | OUT: 17:41:55
CHU-3266 | IN: 09:07:34 | OUT: 17:19:18
CHU-4038 | IN: 09:00:12 | OUT: 17:08:44
CHU-3090 | IN: 09:14:26 | OUT: 17:27:09
CHU-5317 | IN: 08:56:55 | OUT: 17:04:21
CHU-3264 | IN: 09:10:41 | OUT: 17:30:18
CHU-5386 | IN: 09:03:19 | OUT: 17:15:27
CHU-4731 | IN: 08:52:48 | OUT: 17:01:56
CHU-1436 | IN: 09:17:33 | OUT: 17:38:02
CHU-1483 | IN: 09:06:11 | OUT: 17:18:49
CHU-4243 | IN: 09:12:58 | OUT: 17:26:33
===
2025-10-27T12:18:09Z
CHU-7363 | IN: 09:02:44 | OUT: 17:09:31
CHU-6273 | IN: 09:15:22 | OUT: 17:25:40
CHU-8637 | IN: 08:58:06 | OUT: 17:06:55
CHU-1175 | IN: 09:04:39 | OUT: 17:14:28
CHU-8970 | IN: 09:11:57 | OUT: 17:33:14
CHU-3709 | IN: 08:55:18 | OUT: 17:02:47
CHU-7630 | IN: 09:19:03 | OUT: 17:40:26
CHU-4540 | IN: 09:01:35 | OUT: 17:11:09
CHU-8059 | IN: 09:08:42 | OUT: 17:21:30
CHU-5325 | IN: 09:13:59 | OUT: 17:34:16
CHU-3266 | IN: 08:57:11 | OUT: 17:04:38
CHU-4038 | IN: 09:06:47 | OUT: 17:18:22
CHU-3090 | IN: 09:10:26 | OUT: 17:29:01
CHU-5317 | IN: 09:03:08 | OUT: 17:15:56
CHU-3264 | IN: 08:51:49 | OUT: 17:00:44
CHU-5386 | IN: 09:22:17 | OUT: 17:42:33
CHU-4731 | IN: 09:00:55 | OUT: 17:10:28
CHU-1436 | IN: 09:14:41 | OUT: 17:36:19
CHU-1483 | IN: 08:59:24 | OUT: 17:07:46
CHU-4243 | IN: 09:18:10 | OUT: 17:39:12
===
2025-11-27T12:16:54Z
CHU-7363 | IN: 09:06:18 | OUT: 17:17:45
CHU-6273 | IN: 08:56:03 | OUT: 17:03:29
CHU-8637 | IN: 09:09:54 | OUT: 17:26:11
CHU-1175 | IN: 09:02:17 | OUT: 17:12:36
CHU-8970 | IN: 09:15:09 | OUT: 17:34:58
CHU-3709 | IN: 09:01:41 | OUT: 17:10:24
CHU-7630 | IN: 08:53:32 | OUT: 17:01:16
CHU-4540 | IN: 09:11:06 | OUT: 17:28:44
CHU-8059 | IN: 09:04:55 | OUT: 17:14:19
CHU-5325 | IN: 09:21:38 | OUT: 17:43:07
CHU-3266 | IN: 08:58:49 | OUT: 17:05:33
CHU-4038 | IN: 09:07:26 | OUT: 17:19:58
CHU-3090 | IN: 09:13:08 | OUT: 17:31:27
CHU-5317 | IN: 09:00:02 | OUT: 17:08:41
CHU-3264 | IN: 08:55:36 | OUT: 17:02:59
CHU-5386 | IN: 09:18:44 | OUT: 17:39:10
CHU-4731 | IN: 09:03:15 | OUT: 17:15:48
CHU-1436 | IN: 09:10:57 | OUT: 17:30:22
CHU-1483 | IN: 09:06:33 | OUT: 17:18:56
CHU-4243 | IN: 09:14:29 | OUT: 17:35:17
===
2025-12-27T12:19:28Z
CHU-7363 | IN: 09:04:28 | OUT: 17:13:36
CHU-6273 | IN: 09:01:15 | OUT: 17:10:42
CHU-8637 | IN: 08:57:49 | OUT: 17:05:21
CHU-1175 | IN: 09:09:33 | OUT: 17:22:58
CHU-8970 | IN: 09:12:04 | OUT: 17:31:14
CHU-3709 | IN: 08:55:56 | OUT: 17:03:39
CHU-7630 | IN: 09:18:27 | OUT: 17:41:12
CHU-4540 | IN: 09:02:41 | OUT: 17:11:49
CHU-8059 | IN: 09:07:58 | OUT: 17:20:06
CHU-5325 | IN: 09:23:11 | OUT: 17:44:53
CHU-3266 | IN: 08:59:36 | OUT: 17:06:28
CHU-4038 | IN: 09:05:22 | OUT: 17:17:34
CHU-3090 | IN: 09:14:45 | OUT: 17:32:19
CHU-5317 | IN: 09:00:09 | OUT: 17:08:52
CHU-3264 | IN: 08:54:17 | OUT: 17:01:41
CHU-5386 | IN: 09:19:38 | OUT: 17:40:07
CHU-4731 | IN: 09:03:56 | OUT: 17:15:02
CHU-1436 | IN: 09:11:24 | OUT: 17:33:48
CHU-1483 | IN: 09:06:47 | OUT: 17:19:25
CHU-4243 | IN: 09:16:09 | OUT: 17:37:14
